buoy,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp,s.s.temp
1,1,8.96,-140.32,-6.3,-6.4,83.5,27.32,27.57
1,2,8.95,-140.32,-5.7,-3.6,86.4,26.7,27.62
1,3,8.96,-140.32,-6.2,-5.8,83,27.36,27.68
1,4,8.96,-140.34,-6.4,-5.3,82.2,27.32,27.7
1,5,8.96,-140.33,-4.9,-6.2,87.3,27.09,27.85
1,6,8.96,-140.33,-6.3,-4.9,91.5,26.82,27.98
1,7,8.97,-140.32,-6.7,-3.7,94.1,26.62,28.04
1,8,8.96,-140.33,-6.3,-4.8,92,26.89,27.98
1,9,8.97,-140.33,-6.3,-4.9,86.9,27.44,28.13
1,10,8.97,-140.32,-4.2,-2.5,87.3,26.62,28.14
1,11,8.96,-140.32,-6.8,-2.4,86,27.6,28.09
1,12,8.96,-140.33,-7.1,-3.2,82.2,27.87,28.15
1,13,8.96,-140.33,-6.7,-4.7,81.3,27.75,28.19
2,1,4.93,-139.87,-2.9,-1.2,87.6,26.84,28.35
2,2,4.92,-139.86,0.4,-1.6,82.3,27.3,28.48
2,3,4.92,-139.87,-4,-4.6,83,28,28.61
2,4,4.92,-139.88,-6.3,-3.2,87.6,27.61,28.55
2,5,4.93,-139.87,-4.1,3.3,84.6,27.69,28.35
2,6,4.93,-139.87,-5.4,1.9,81.9,27.96,28.48
2,7,4.93,-139.86,-4.7,0.9,80.3,28.08,28.54
2,8,4.92,-139.87,-2.5,-0.9,84.2,27.61,28.72
2,9,4.93,-139.87,-5.1,2,84.6,27.42,28.66
2,10,4.93,-139.86,-1.3,0.7,80,27.65,28.73
2,11,4.93,-139.85,-5.4,-1.2,83.4,27.89,28.84
2,12,4.93,-139.86,-6.2,-4,82.7,27.77,28.63
2,13,4.93,-139.87,-4.8,2.6,82.3,27.42,28.48
3,1,2,-139.95,-0.3,3.2,86.8,27.1,27.85
3,2,2,-139.96,-1.6,1.1,83.6,27.42,28.06
3,3,1.99,-139.97,-3.9,-2.5,87.5,27.3,28.01
3,4,1.98,-139.96,-4.7,1.4,88.3,26.98,27.95
3,5,1.99,-139.97,-5.3,2.5,82.5,27.14,27.99
3,6,2,-139.97,-6.8,0.5,82.8,27.46,27.89
3,7,2,-139.97,-5.6,0.5,84,27.02,27.49
3,8,2,-139.96,-3.4,2,87.2,26.55,27.27
3,9,2,-139.97,-4.5,2.3,82.1,25.59,26.97
3,10,2,-139.96,-4.1,0.4,79.3,25.47,27.07
3,11,1.99,-139.97,-5.8,0.7,83.2,26.27,27.37
3,12,2,-139.97,-7.2,2.8,83.2,26.23,27.26
3,13,2,-139.98,-5.8,0.5,78.1,25.79,27.1
3,14,2,-139.99,-5.4,-0.4,77.8,25.91,26.85
4,-1,0.01,-139.94,0.7,0.3,93.1,26.54,26.42
4,-2,0.02,-139.93,-1.5,-0.4,92.3,26.51,26.49
4,-3,0.01,-139.94,-3.4,-1.4,92.3,26.53,26.42
4,-4,0.02,-139.94,-4.3,1.3,92.3,26.18,26.02
4,-5,0.02,-139.94,-3.7,0.4,92.3,25.79,25.77
